ID,City Name,Temperature,Humidity,Cloudiness,Wind,Longitude,Latitude
0,Puerto Ayora,80.6,78,75,9.22,-90.3518,-0.7393
1,Aswān,86.45,9,0,14.47,32.907,24.0934
2,Ushuaia,55.4,54,75,5.75,-68.3,-54.8
3,Sinnamary,78.3,87,100,12.5,-52.95,5.3833
4,Rikitea,78.49,74,100,17.38,-134.9692,-23.1203
5,Cidreira,72.5,77,24,11.1,-50.2056,-30.1811
6,Atuona,80.8,70,2,18.92,-139.0333,-9.8
7,Hofn,46.89,86,100,7.18,-15.2082,64.2539
8,Bahir Dar,67.78,66,73,5.95,37.3908,11.5936
9,San Cristobal,89.6,55,40,13.8,-72.225,7.7669
10,Mar del Plata,66.2,55,40,14.97,-57.5575,-38.0023
11,Avarua,80.6,74,20,13.8,-159.775,-21.2078
12,Butaritari,82.56,76,39,12.26,172.7902,3.0707
13,George Town,82.0,89,40,2.3,100.3354,5.4112
14,Port Alfred,66.79,86,50,8.55,26.891,-33.5906
15,Mossamedes,78.91,76,0,7.67,12.1522,-15.1961
16,Berlevåg,33.69,70,98,13.98,29.0864,70.8578
17,Castro,70.23,64,81,1.77,-50.0119,-24.7911
18,Mitsamiouli,80.49,77,55,10.4,43.2844,-11.3847
19,Arraial do Cabo,78.8,73,20,12.66,-42.0278,-22.9661
20,Palmer,71.01,19,75,11.5,-72.3287,42.1584
21,Albany,70.0,27,88,1.01,-73.9662,42.6001
22,Hamilton,52.0,82,90,3.44,-84.5333,39.1834
23,Labuhan,76.96,84,20,5.88,112.2051,-6.8844
24,Mataura,46.99,91,92,3.0,168.8643,-46.1927
25,Punta Arenas,51.8,71,40,9.22,-70.9167,-53.15
26,Rawson,60.67,45,22,0.6,-65.1023,-43.3002
27,Tuatapere,46.99,91,100,3.0,167.6833,-46.1333
28,Hermanus,63.0,81,100,5.01,19.2345,-34.4187
29,Pisco,73.4,68,0,20.71,-76.2167,-13.7
30,Kibala,86.54,47,13,0.6,18.3463,9.1104
31,Paamiut,39.29,74,100,8.32,-49.6678,61.994
32,Sisophon,78.12,80,73,5.79,102.9737,13.5859
33,Tasiilaq,37.4,75,75,1.14,-37.6368,65.6145
34,Ust-Nera,-3.1,92,19,1.39,143.2,64.5667
35,Tuktoyaktuk,24.8,80,40,5.75,-133.0374,69.4541
36,Bluff,46.99,91,96,3.0,168.3333,-46.6
37,Gandajika,68.18,95,100,5.28,23.95,-6.75
38,Yining,60.3,96,100,3.85,114.5636,29.0361
39,Tazovsky,30.9,91,100,9.26,78.7,67.4667
40,Cape Town,63.0,88,0,6.91,18.4232,-33.9258
41,Libertador General San Martín,75.06,61,55,4.47,-64.7876,-23.8064
42,Kaputa,68.45,86,95,3.47,29.6619,-8.4689
43,Vila Velha,78.8,69,20,11.5,-40.2925,-20.3297
44,Vostok,24.85,51,9,6.31,135.8833,46.4856
45,Ilulissat,41.0,60,40,6.91,-51.1,69.2167
46,Methóni,59.0,67,3,5.75,21.7049,36.8197
47,Barrow,21.2,93,1,3.44,-156.7887,71.2906
48,Cañon City,64.99,31,1,10.36,-105.2424,38.441
49,Cascais,64.99,88,20,8.05,-9.4215,38.6979
50,Swellendam,53.6,87,78,3.44,20.4417,-34.0226
51,Clyde River,17.6,100,75,9.22,-68.5914,70.4692
52,Athabasca,41.0,28,64,8.05,-113.2854,54.7169
53,Nishihara,68.0,83,40,10.36,127.7558,26.1842
54,Lagoa,58.93,83,18,26.53,-27.9833,39.05
55,Vaini,71.6,100,40,1.14,-175.2,-21.2
56,Khatanga,32.25,97,100,17.25,102.5,71.9667
